Gene,GBM_gain,LGG_gain,pval,FDR,freq_diff
ADPRH,26,5,0.00017602193546965072,0.0006234663742649091,0.037412884582695906
ADRA1D,176,42,1.0972396149919154e-23,1.3882345861793248e-22,0.2378718340982492
ADRBK1,10,28,0.0024956100611465528,0.006554577107082709,0.03481217066122727
ADSS,60,25,0.00017526273518457235,0.000622539204588909,0.060938296787353394
AES,183,44,1.1225390558000175e-24,1.7290555425645807e-23,0.24671086180520146
AFAP1L1,23,9,0.019296343833463993,0.038618402410842516,0.024460309365969744
AFF3,19,6,0.014161791349667606,0.029494076062863417,0.022913479517253102
AGAP2,119,36,2.7122014305322224e-12,1.9582615905640825e-11,0.1464898861125276
AGBL3,437,162,3.029168415749397e-59,8.867846251018412e-58,0.4817270100288968
AGBL4,41,13,0.00021817971695038533,0.0007510022895165911,0.049345571987081414
AGFG2,431,152,4.259721605931774e-61,1.3640191701041233e-59,0.48978412374638786
AGGF1,23,9,0.019296343833463993,0.038618402410842516,0.024460309365969744
AGK,434,166,4.424324910860391e-56,9.272509755746874e-55,0.4687744348121707
AGL,47,15,6.480578231878923e-05,0.00026989829142084766,0.05638279789223185
AGMAT,43,12,4.0276705776502825e-05,0.00018219143594925286,0.05483596804351522
AGMO,420,103,4.874588531318647e-81,3.0002692853829283e-79,0.5624171341152473
AGO1,45,13,3.518754807695726e-05,0.00016086654399383383,0.05655277919428863
AGO2,39,77,7.43874601551849e-05,0.00030733174047058235,0.07501274859765425
AGO3,47,13,1.3658340478417718e-05,6.913412784121242e-05,0.060156382797892226
AGO4,45,13,3.518754807695726e-05,0.00016086654399383383,0.05655277919428863
AGPAT3,34,16,0.019658276164224033,0.039264262725670504,0.03107258201597824
AGPAT4,11,2,0.022132997223854867,0.04297018482160886,0.016046234914159442
AGPS,15,4,0.01877659489313682,0.03806004887368454,0.019479857215706275
AGR2,419,103,1.633910125861289e-80,9.19028549445125e-79,0.5606153323134455
AGR3,418,103,5.44646421526737e-80,2.931720415228866e-78,0.5588135305116437
AGT,55,24,0.0006516927026811648,0.0019426599858804552,0.053816080231174575
AGTR1,33,5,3.61666815438958e-06,2.014655873242682e-05,0.05002549719530852
AGXT2,27,11,0.013157487481403005,0.027597646228451164,0.027893931667516577
AHCTF1,53,25,0.0021507053913035093,0.005727840675048076,0.04832568417474077
AHCY,179,39,6.112026012617255e-26,1.0395289542184137e-24,0.24893761686214516
AHCYL1,48,14,1.9181713021581483e-05,9.504155927354361e-05,0.06007139214686385
AHCYL2,438,165,1.972542924286032e-58,5.445523830317578e-57,0.4778684344722081
AHDC1,41,13,0.00021817971695038533,0.0007510022895165911,0.049345571987081414
AHI1,11,1,0.006234091590507687,0.01442137823571233,0.01793302736698963
AHNAK,4,24,6.448540756649713e-05,0.00026969666231528875,0.038075811660717315
AHR,419,103,1.633910125861289e-80,9.19028549445125e-79,0.5606153323134455
AHRR,35,13,0.0027708364183995637,0.007141311366316226,0.0385347611762706
AHSG,50,8,1.6954734436177545e-08,1.0881461613782666e-07,0.07499575046744858
AIG1,12,1,0.0033433814753536578,0.008472983968420727,0.019734829168791435
