Gene,GBM_gain,LGG_gain,pval,FDR
OTUD6B,36,54,0.028026345364715446,0.0532178094180423
OTUD7A,9,6,0.6061644328763274,0.6945961737323886
OTX1,17,7,0.06267964363089813,0.10431326330328326
OTX2,5,5,1.0,1.0
OVCA2,9,7,0.803005578017028,0.8612725161162496
OVCH1,45,26,0.03674835529052684,0.06630863868234195
OVCH2,6,14,0.07045759248002104,0.11595968480711846
OVOL3,165,29,2.215482633235657e-27,4.315449829563307e-26
OXA1L,6,8,0.5977465734263555,0.6870471483022353
OXCT1,28,9,0.0023839772751895276,0.006274547970346359
OXCT2,44,14,0.00011889995781033701,0.0004468567483472575
OXER1,21,7,0.012068953457068876,0.02585982922218011
OXGR1,7,11,0.34632995228602165,0.4467602837512002
OXR1,38,74,0.00013362055285161915,0.0005013023888897367
OXSR1,30,7,0.0001716303703014529,0.0006105032925597393
OXTR,33,12,0.002246748213654565,0.005941479956447307
P2RX4,29,18,0.178908789149844,0.25864961450253726
P2RX7,29,18,0.178908789149844,0.25864961450253726
P2RY1,33,4,9.100658391746536e-07,5.31804232401749e-06
P2RY11,183,49,1.7985710726070083e-22,1.828770505647397e-21
P2RY2,10,32,0.0003991746197343932,0.0012625957117041106
P2RY6,10,32,0.0003991746197343932,0.0012625957117041106
P4HA1,2,1,1.0,1.0
P4HA2,23,9,0.019296343833463993,0.038618402410842516
P4HA3,9,32,0.00017057368817659498,0.0006105032925597393
P4HB,32,26,0.5899753223544262,0.6799884413751935
P4HTM,29,6,0.00010498855889076932,0.00040069076935745203
PA2G4,39,11,0.00011840273809974537,0.0004468567483472575
PAAF1,9,32,0.00017057368817659498,0.0006105032925597393
PABPC1,35,71,9.046117439466135e-05,0.0003645146007671114
PABPC1L,175,41,7.110286667792678e-24,9.269295588273476e-23
PABPC3,6,5,1.0,1.0
PABPC4,44,13,5.6015785800307776e-05,0.0002452609536877616
PABPC4L,9,3,0.14505090281306568,0.21580884272306522
