Gene,GBM_loss,LGG_loss,pval,FDR,freq_diff
AKR1C2,423,77,3.958689926991594e-99,1.276125323675273e-97,0.6168791432942377
AKR1C3,423,78,1.8949362660468105e-98,5.762294046266233e-97,0.6149923508414075
AKR1C4,423,78,1.8949362660468105e-98,5.762294046266233e-97,0.6149923508414075
AKR1C7P,424,78,4.912296237618339e-99,1.57676312139963e-97,0.6167941526432092
AKR1CL1,423,78,1.8949362660468105e-98,5.762294046266233e-97,0.6149923508414075
AKR1E2,423,78,1.8949362660468105e-98,5.762294046266233e-97,0.6149923508414075
AKR7A2,34,182,2.963718629679489e-33,2.3757193839405165e-32,0.2821349651538331
AKT1S1,63,242,1.2240602686172064e-37,1.0906734149066407e-36,0.34309026007139215
AKT2,34,214,4.667253946578596e-44,5.916581332110014e-43,0.34251232364439915
AKTIP,46,10,1.4569473305167101e-06,6.086279977481095e-06,0.064014958354581
ALB,23,62,4.235174888355379e-06,1.629631075124859e-05,0.07553969063403027
ALDH18A1,465,104,6.365984987765353e-107,5.1138944645032686e-105,0.6416114227434981
ALDH1A1,51,23,0.0016335134644422016,0.004247643978336637,0.04849566547679756
ALDH1A2,82,53,0.021182434984569704,0.04203393173123407,0.04774774774774773
ALDH1A3,70,40,0.006456684053501618,0.014589697330279981,0.05065442801291857
ALDH1B1,140,50,5.5463691810850765e-12,3.2997052609211884e-11,0.1579126296107428
ALDH3A1,38,6,7.578513103670922e-07,3.3336580920452294e-06,0.05714771375148733
ALDH3A2,38,6,7.578513103670922e-07,3.3336580920452294e-06,0.05714771375148733
ALDH3B1,58,16,8.494998958045604e-07,3.694611301324872e-06,0.07431582525922148
ALDH4A1,30,181,2.365117456087555e-35,1.9564314110874037e-34,0.2874553799082101
ALDH8A1,115,73,0.00293042895527366,0.007127737008763103,0.06947135815060343
ALDOA,29,10,0.003140685059375372,0.007589068185873089,0.03338432772395036
ALG1,23,6,0.002187889141606591,0.005514508504230573,0.030120686724460312
ALG10B,42,21,0.013200158196225671,0.027598159557926518,0.03605303416624172
ALG11,202,98,3.564216070739801e-11,2.0296305464235515e-10,0.1790583035866055
ALG14,19,177,1.332636163597674e-41,1.3739780679179313e-40,0.29972802991670916
ALG1L13P,38,16,0.004812498365844113,0.011175351747056772,0.038279789223185444
ALG5,169,86,3.037968715004159e-08,1.5136439813198168e-07,0.14224035356110828
ALG6,7,176,1.3246190085019777e-52,2.6045061185493077e-51,0.3194628590855006
ALG8,48,13,8.442569680001136e-06,3.076019445379022e-05,0.06195818459969404
ALG9,47,10,8.587198469643044e-07,3.710005620102899e-06,0.0658167601563828
ALKBH5,38,4,4.407020738470241e-08,2.172703168142434e-07,0.06092129865714771
ALKBH6,25,197,2.713658188764396e-44,3.55092102017585e-43,0.3266530681625021
ALKBH8,50,11,4.842443744363792e-07,2.1904001784954192e-06,0.06933537310895801
ALOX12,57,8,2.713036119919313e-10,1.4586695989057951e-09,0.0876083630800612
ALOX12P2,58,8,1.484166186421526e-10,8.069180040689166e-10,0.089410164881863
ALOX15,54,6,9.546100497439724e-11,5.262441162295028e-10,0.08597654258031617
ALOX15B,56,8,4.944714832035768e-10,2.6377665556406714e-09,0.08580656127825939
ALOX5,431,80,8.193013713290896e-102,3.0165551961043093e-100,0.6256331803501615
ALOX5AP,154,80,4.474162191429363e-07,2.037927969668038e-06,0.12653408125106239
ALPK1,25,64,6.89847720274786e-06,2.546790969272017e-05,0.07570967193608703
ALPL,38,183,2.6461169002592426e-31,2.0649334065295762e-30,0.276814550399456
ALPPL2,21,48,0.00042904003717161117,0.001247829513725449,0.05272819989801121
ALX3,10,178,6.145671717848907e-50,1.091256271223715e-48,0.31783103858575557
ALYREF,17,5,0.01644067088269268,0.03362447351937501,0.02119666836647969
AMBN,26,61,4.537956111168808e-05,0.00014780827558971775,0.06824749277579467
AMELX,11,32,0.0008663998829980427,0.0023715486593288266,0.04055753867074622
AMER2,150,83,5.898917573927916e-06,2.2048653843131414e-05,0.11366649668536463
AMFR,50,12,1.2793496152471302e-06,5.422796252890065e-06,0.06744858065612783
