Gene,GBM_gain,LGG_gain,pval,FDR,freq_diff
ARFGEF2,177,40,6.770378142003221e-25,1.0725478790781053e-23,0.2434472208057114
ARHGAP33,163,29,8.457945446815348e-27,1.5681657372873195e-25,0.23897671256161823
ARHGAP35,121,23,1.4553902453772276e-18,1.0569173455065379e-17,0.17462179160292368
ARHGEF1,144,31,1.7884224871606145e-20,1.4455612977490908e-19,0.20096889342172364
ARHGEF18,177,47,9.400503717423133e-22,8.198418398853695e-21,0.2302396736359001
ARHGEF25,90,30,2.060643242209183e-08,1.3146448687976853e-07,0.10555838857725651
ARHGEF35,433,162,1.401847103093854e-57,3.451301605616967e-56,0.47451980282168965
ARID3A,189,57,1.2828394536895174e-20,1.0504734414127139e-19,0.2329933707292198
ARL4A,418,104,2.0580042516932364e-79,1.0441590490516563e-77,0.5569267380588134
ARMC6,179,47,2.8280184962034106e-22,2.7507242082890425e-21,0.23384327723950366
ARPC1A,433,151,1.5848496776779323e-62,5.409380104401633e-61,0.4952745198028217
ARPC1B,432,151,4.871076485640155e-62,1.625640592474308e-60,0.49347271800101994
ARRDC2,176,47,1.7075333770613486e-21,1.4537265451648148e-20,0.22843787183409825
ARRDC5,180,45,2.0650194711785807e-23,2.475056856996004e-22,0.23941866394696587
ASB4,434,145,7.760539833606271e-66,2.7487685665353535e-64,0.5083970763216046
ASF1B,179,48,7.498757286235427e-22,6.715345076009758e-21,0.23195648478667347
ASL,437,111,1.6097905832951666e-85,7.144769389455132e-83,0.5779534251232363
ASNA1,181,47,8.424094433323936e-23,9.154345166400787e-22,0.23744688084310728
ASNS,431,149,1.7892801075547281e-62,6.0795042206463586e-61,0.4954445011048784
ASXL1,179,40,1.8749027654032004e-25,3.0705877569056995e-24,0.24705082440931497
ATCAY,179,45,3.822925606389455e-23,4.423166159996675e-22,0.23761686214516403
ATF5,127,26,2.136325746062673e-18,1.546930571570358e-17,0.17977222505524393
ATG4D,184,51,6.751161999764482e-22,6.122521190366122e-21,0.2353051164371919
ATG9B,435,162,1.5957277431242055e-58,4.4378961567109847e-57,0.4781234064252932
ATP13A1,179,46,1.0487489700441541e-22,1.1091628191635992e-21,0.23573006969233384
ATP1A3,142,31,6.045427082079078e-20,4.731121621608316e-19,0.19736528981812002
ATP4A,164,30,1.5690036663649413e-26,2.842376002589709e-25,0.23889172191058983
ATP5D,186,51,3.3429616801203855e-22,3.210012692586186e-21,0.23890872004079552
ATP6V0A4,433,164,1.0433554551021747e-56,2.324794098623807e-55,0.4707462179160293
ATP6V1F,438,164,7.272001960520386e-59,2.0881630103842285e-57,0.4797552269250383
ATP8B3,185,49,5.373192453598071e-23,6.10859986889749e-22,0.2408805031446541
ATP9A,176,42,1.0972396149919154e-23,1.3882345861793248e-22,0.2378718340982492
ATRN,175,43,5.78929572605286e-23,6.502890292734618e-22,0.23418323984361722
ATXN7L1,430,156,8.093153048329784e-59,2.2975987236260247e-57,0.4804351521332653
AURKC,148,29,1.4798132557328562e-22,1.534795267582599e-21,0.2119496855345912
AUTS2,441,111,8.450910480471121e-88,1.5864471699464414e-84,0.5851606323304437
AVIL,110,34,5.0162800527707586e-11,3.6010752309995817e-10,0.13404725480197177
