Gene,GBM_loss,LGG_loss,pval,FDR,freq_diff
C15orf41,109,48,6.967117285024608e-07,3.089139192905539e-06,0.10583035866054734
C15orf53,109,51,3.2202675713616997e-06,1.270348200026141e-05,0.10016998130205676
C19orf12,20,187,2.2900023929930653e-44,3.022883650926347e-43,0.3167941526432092
C19orf18,55,253,1.2157984094891866e-45,1.7394022578425296e-44,0.37825939146693865
C19orf33,28,206,2.317275005560553e-45,3.28397218240855e-44,0.33822879483256846
C19orf40,24,192,5.299358136497985e-43,6.003541321755107e-42,0.31902090770015296
C19orf47,36,214,9.791795542462703e-43,1.087157077892644e-41,0.33890872004079553
C19orf48,62,246,1.812486083966933e-39,1.7453311508558507e-38,0.35243923168451474
C19orf55,23,197,1.4910956964357885e-45,2.1292052805949062e-44,0.3302566717661057
C19orf68,63,241,2.608196374782768e-37,2.308799407306231e-36,0.34120346761856196
C19orf69,46,219,1.0540608146842999e-38,9.921116264528542e-38,0.33032466428692847
C19orf81,61,245,1.2217382069489543e-39,1.184825780812601e-38,0.35235424103348634
C1QA,39,183,9.266724337475654e-31,7.164422696734909e-30,0.27501274859765423
C1QB,38,184,1.2892527234952263e-31,1.0129264860013226e-30,0.2787013428522862
C1QC,39,184,4.542755426699989e-31,3.528504240945566e-30,0.2768995410504844
C1QL3,424,77,1.0203473077059256e-99,3.4290060976193323e-98,0.6186809450960394
C1QTNF6,152,45,2.465860942762581e-16,1.680678905725022e-15,0.18896821349651538
C1QTNF9,150,82,3.977041517426588e-06,1.54136010512854e-05,0.11555328913819482
C1orf123,10,176,3.449587032012365e-49,5.935818601934679e-48,0.3140574536800952
C1orf127,55,191,1.3567699018199068e-25,1.0150098339212471e-24,0.2612782593914669
C1orf137,11,175,9.298918352838945e-48,1.5183516466994199e-46,0.31036885942546316
C1orf158,43,186,1.432151740122971e-29,1.096523111117598e-28,0.2734659187489376
C1orf162,11,178,7.206033707273123e-49,1.2259234241297494e-47,0.3160292367839537
C1orf167,45,188,3.72814818533466e-29,2.8442987323563868e-28,0.27363590005099436
C1orf168,9,176,2.7553420287876724e-50,5.02925248559519e-49,0.31585925548189697
C1orf173,17,176,7.017895241190339e-43,7.926527993470772e-42,0.30144484106748254
C1orf177,5,175,9.927292235131975e-55,2.0400517641060538e-53,0.321179670236274
C1orf180,18,178,9.07437527637184e-43,1.0089953027509829e-41,0.30341662417134113
C1orf185,20,181,3.184262444426691e-42,3.4118395463750183e-41,0.3054733979262281
C1orf194,10,177,1.4570997295668478e-49,2.53339723814273e-48,0.3159442461329254
C1orf195,33,185,8.018082418748803e-35,6.574652516072299e-34,0.2895971443141254
C1orf200,83,196,6.481815359336558e-17,4.501610278684872e-16,0.2202617712051674
C1orf234,38,183,2.6461169002592426e-31,2.0649334065295762e-30,0.276814550399456
C1orf63,29,182,2.545846120802207e-36,2.155789201053594e-35,0.29114397416284205
C1orf64,30,184,2.376208605069744e-36,2.026996346698336e-35,0.29311575726670064
C1orf87,7,176,1.3246190085019777e-52,2.6045061185493077e-51,0.3194628590855006
C1orf94,17,175,1.6043821417062692e-42,1.7591991629716478e-41,0.29955804861465235
